Reading_Time_Minutes,Visitors_Per_Day,Engagement_Index,Digitization_Progress,Metadata_Accuracy,Institution_Type,Project_Type,Region,Time_Period_Focus,Primary_Tool_Used
32.59015398145616,176.61033671937906,10.604402705398854,2.1831951147771242,95.70371833860281,University,Visualization,Oceania,1500-1800,Voyant Tools
29.734750083244077,113.93950818845624,10.816958583542707,1.0190436378351875,95.71548635213709,University,Visualization,Asia,1800-1900,Voyant Tools
33.82381287540346,640.9819782082003,10.634793176455851,1.0579203905958026,96.7672393134949,Library,Crowdsourcing,Europe,Pre-1500,Python
37.87645217684013,709.5275348728321,9.382398697892453,2.786167940783222,94.4790640437005,Museum,Crowdsourcing,Oceania,1500-1800,Python
29.36533801728332,41.40151553418562,8.436865596561532,1.77041236461928,95.75263102741793,Museum,Preservation,Africa,1800-1900,Voyant Tools
29.3939854528541,936.8675031804529,9.128689742813032,9.0459503982414,95.83342600916414,Museum,Text Analysis,Oceania,Pre-1500,Python
38.50794475453696,61.799780727357685,9.757207507517904,,96.48752957331139,University,Preservation,North America,1500-1800,Voyant Tools
34.82897231996454,546.5744226515598,10.403912731245029,0.5911091366419712,95.33603605680803,Independent Lab,Crowdsourcing,Africa,1800-1900,Omeka
28.05008221852524,712.1089282383073,5.998731911920676,0.785971626305505,96.0508704047601,University,Preservation,Oceania,1500-1800,Python
,872.7013704163247,9.364099999637999,1.3999451520505726,96.25078380519932,Independent Lab,Visualization,Asia,Post-2000,Voyant Tools
28.235016484237686,717.9336445454035,10.393947823725137,1.5068319847406344,95.41427501117664,Archive,Visualization,Asia,1900-2000,R
28.228913907348716,804.2339233483939,9.51122097508507,,95.25641256518036,University,Crowdsourcing,Africa,1900-2000,R
31.38853095563017,347.025802071978,,0.7378194408560821,96.13215900845002,University,Crowdsourcing,Europe,Post-2000,Python
20.992692606411012,816.8490697686472,,1.737866420699722,93.82430944209015,University,Preservation,Africa,1500-1800,R
21.859170995034834,,9.38979503302038,2.7974430262793817,95.74710001023132,Museum,Preservation,Asia,Post-2000,TEI
28.177070617795138,896.6129497162224,7.576323392051625,1.853777103362962,95.68488867783098,Museum,Visualization,Africa,1900-2000,TEI
25.51349555142788,552.2350492828989,,1.9073241972100001,95.52823755591086,Independent Lab,Text Analysis,North America,1900-2000,R
32.34543114717637,819.2535067412688,,0.0692528688681752,96.77999557625978,Independent Lab,Text Analysis,North America,1500-1800,Voyant Tools
,458.4893459099171,,0.8067688456455144,,University,Crowdsourcing,Europe,1900-2000,R
23.076550011823542,647.8299654019597,9.791666360726028,,95.65443800366748,Independent Lab,Preservation,Africa,Post-2000,R
38.19207437120777,531.4460626504521,10.156253183229648,1.3065677473150368,96.48121728050236,Museum,Text Analysis,Africa,1500-1800,R
28.990204262067323,734.4834675442786,10.189198158745288,0.6104074771782098,,Independent Lab,Preservation,Africa,Post-2000,Voyant Tools
30.56741232793962,91.79479177788369,9.500357293617805,3.3386759436371074,95.16271145783173,Archive,Digitization,Africa,1500-1800,Voyant Tools
23.659368329232716,70.17336822325815,9.839729984590576,3.221038902475816,95.28795050538457,Museum,Visualization,Europe,1900-2000,TEI
28.227331555774086,255.395225357845,7.300813417732129,1.3222175661433524,95.57958461326479,Archive,Preservation,Asia,1800-1900,Python
30.65489156604933,168.06095550625648,9.091781152345861,0.5009811958646418,95.27244444587666,Independent Lab,Preservation,Oceania,1500-1800,TEI
24.753375655988485,873.0845373373796,9.33143553005237,2.839539304264969,94.36961465692387,Library,Preservation,Europe,1500-1800,Voyant Tools
32.66457121462836,227.50610237926387,10.1226969348559,1.9711629303875773,,University,Text Analysis,Asia,1800-1900,Voyant Tools
27.797660283805975,976.53785073404,7.629437161083433,2.3609928335379213,95.0068503681939,Museum,Preservation,Asia,1900-2000,Voyant Tools
29.155556618033618,343.7231848458958,5.830878553402766,3.0283304338605648,95.46750875618848,Archive,Digitization,Asia,Post-2000,Voyant Tools
27.676031385553017,190.32952924751228,8.1569879185024,2.6427040629778964,95.8552295695149,Library,Text Analysis,Africa,Pre-1500,Voyant Tools
39.313443719644695,792.4613109143544,10.791610881327937,1.7999970366263167,95.505306571344,Library,Crowdsourcing,Europe,1800-1900,Voyant Tools
30.321617556910333,662.7138739174674,8.830776930399319,1.0402252973266362,94.6719153841758,Museum,Crowdsourcing,Asia,Pre-1500,Omeka
25.347321973620502,503.6828416301076,,2.5659046034411537,95.70987859698043,Museum,Visualization,Oceania,1900-2000,Omeka
34.91709392141594,560.718444726655,10.494662376266286,2.3120075678029264,95.74475540239831,Library,Digitization,Oceania,1500-1800,R
24.71903721564489,722.0530419856412,,2.4772081200425946,,University,Preservation,North America,1500-1800,Omeka
31.515986635123777,236.47183972338573,9.269602005406812,0.5819982479952682,,University,Digitization,Asia,1900-2000,TEI
20.80189482240112,996.3808492929745,8.95913558483286,0.6922569263912552,96.26232704656788,Archive,Crowdsourcing,Europe,Post-2000,R
23.447210444807848,975.1417341242153,9.91807242951478,3.867912958072188,96.14796995922507,University,Preservation,Africa,Post-2000,Python
31.247398177345616,653.9462230401675,9.65848834917596,2.948279281206815,96.33630305970138,Library,Digitization,North America,1900-2000,Voyant Tools
34.063168025977056,208.1488183918537,9.693312480743817,3.826885837618341,96.11333412800889,Library,Text Analysis,Asia,1900-2000,Omeka
31.46587026714985,684.0135630537784,10.02114180122189,3.0256451804341706,95.09680782077855,Independent Lab,Preservation,Africa,1900-2000,TEI
30.146253301458795,81.67644931678409,10.676360487803825,1.6826651980656728,96.47638131032345,Library,Text Analysis,Europe,1900-2000,Python
29.425166513153556,41.01657783164801,10.06186201042418,2.133969490338388,95.79831821263994,University,Digitization,Europe,1900-2000,Voyant Tools
23.008034906462864,265.13531874220155,8.698335408907889,3.4034454869994804,95.4199044946022,Archive,Preservation,North America,1900-2000,Voyant Tools
27.056954187926458,468.14228414962315,10.606183443539145,1.6436307555060532,94.74708795243083,Independent Lab,Visualization,North America,1500-1800,Python
27.983275379101062,870.3359783672968,9.906379804352861,1.911938287697109,95.20085568176823,University,Visualization,Asia,Pre-1500,Python
36.24914095329458,730.1747547291449,9.840699398395355,1.2058151178258143,95.88264009577092,Archive,Crowdsourcing,Africa,Post-2000,Python
31.77555448244231,745.8592073405813,5.823198432708239,1.4496641546250344,95.94922505438412,University,Preservation,Oceania,Pre-1500,TEI
21.958407675386333,431.59060437709456,9.175834152738624,1.9687165281071428,95.49142595079583,Independent Lab,Digitization,Africa,1500-1800,R
31.795690975373972,353.3307807035933,9.293374972050476,1.3860536329949784,95.68391137860603,Library,Visualization,Europe,1800-1900,R
28.568956975518418,378.10917749085667,10.313282212465293,1.180373232947689,96.7650587375218,Independent Lab,Crowdsourcing,Europe,Pre-1500,Omeka
26.626100395870207,988.3860245274973,9.115952577439831,1.085932773562949,95.67153753407514,Library,Preservation,Asia,1800-1900,Voyant Tools
33.908949080504335,50.213008727457655,10.881134295471186,0.7195591632015186,,Independent Lab,Visualization,Oceania,1500-1800,Omeka
36.085756079779756,868.4295182001241,9.438753256910935,0.9159060803888249,95.77037962022852,Museum,Preservation,Asia,Post-2000,R
35.17455387778099,583.7082409914694,,0.9524368520746542,94.84342035247373,University,Crowdsourcing,Europe,1800-1900,Python
25.998658878386806,,9.118324342360735,,94.96116185709572,University,Digitization,Europe,1500-1800,Voyant Tools
,728.5339225513852,7.139729828643685,1.8489907055379482,,Museum,Crowdsourcing,Africa,1900-2000,R
32.16686500741782,492.5180636444558,8.23954782343926,,94.787536397998,Library,Digitization,Oceania,Post-2000,Voyant Tools
,,10.751507673061004,0.3552482704326696,94.5969009165133,University,Text Analysis,Africa,1900-2000,Omeka
28.219318796473548,901.866618833946,7.208772828327339,2.22713942718077,95.63125176224091,Museum,Visualization,Africa,Post-2000,R
29.745729497680912,428.2577354758209,10.002338434414794,1.4880322160147403,,University,Text Analysis,Asia,Post-2000,Omeka
24.82806512826986,284.06384819140106,9.848111702160729,3.5405786283824083,94.41041160739887,Archive,Digitization,Africa,Pre-1500,Voyant Tools
24.673985998996645,597.1521746599286,9.799255266488727,1.637347320085146,96.46684191405083,Library,Preservation,North America,Post-2000,TEI
35.03827501287099,914.163944257624,10.911339967678277,3.2225545569124847,96.35591015120833,Archive,Digitization,North America,Pre-1500,Python
36.868042955454115,219.4760442936099,9.504139766634394,0.7463687402815579,94.9572263348375,Library,Digitization,Africa,1800-1900,Omeka
29.91588626219833,,9.859066986814435,2.356472419203623,95.30620265967029,Museum,Preservation,Oceania,Post-2000,Voyant Tools
35.417098179460126,635.7193333953953,,0.7603269205005212,95.37876330894122,Library,Text Analysis,Africa,1800-1900,R
32.47784217163817,736.4800250979281,9.42789134736139,5.162103463326581,96.70539278240543,Library,Visualization,Europe,Post-2000,Omeka
27.17985219387438,140.4371340548872,10.59884598181613,1.5771653208856369,96.43191763628656,Museum,Digitization,Europe,Pre-1500,Voyant Tools
